X(nmi),Y(nmi),MCI_2010 POP,MCI_2010 HU
7.52,-15.92,1,1
7.6,-15.92,1,1
7.68,-15.92,1,1
7.76,-15.92,1,1
7.84,-15.92,1,1
7.92,-15.92,1,1
8,-15.92,1,1
8.08,-15.92,1,1
8.16,-15.92,1,1
8.24,-15.92,1,1
8.32,-15.92,1,1
8.4,-15.92,1,1
8.48,-15.92,1,1
8.56,-15.92,1,1
8.64,-15.92,1,1
8.72,-15.92,1,1
8.8,-15.92,1,1
8.88,-15.92,1,1
8.96,-15.92,1,1
9.04,-15.92,1,1
9.12,-15.92,1,1
9.2,-15.92,1,1
9.28,-15.92,1,1
9.36,-15.92,1,1
9.44,-15.92,1,1
9.52,-15.92,1,1
9.6,-15.92,1,1
9.68,-15.92,1,1
9.76,-15.92,1,1
9.84,-15.92,1,1
9.92,-15.92,1,1
10,-15.92,1,1
10.08,-15.92,1,1
10.16,-15.92,1,1
10.24,-15.92,1,1
10.32,-15.92,1,1
10.4,-15.92,1,1
10.48,-15.92,1,1
10.56,-15.92,1,1
10.64,-15.92,1,1
10.72,-15.92,1,1
10.8,-15.92,1,1
10.88,-15.92,1,1
10.96,-15.92,1,1
11.04,-15.92,1,1
11.12,-15.92,1,1
11.2,-15.92,1,1
11.28,-15.92,1,1
11.36,-15.92,1,1
11.44,-15.92,1,1
11.52,-15.92,1,1
11.6,-15.92,1,1
11.68,-15.92,1,1
11.76,-15.92,1,1
11.84,-15.92,1,1
11.92,-15.92,1,1
12,-15.92,1,1
12.08,-15.92,1,1
12.16,-15.92,1,1
12.24,-15.92,1,1
12.32,-15.92,1,1
12.4,-15.92,1,1
12.48,-15.92,1,1
12.56,-15.92,1,1
12.64,-15.92,1,1
12.72,-15.92,1,1
12.8,-15.92,1,1
12.88,-15.92,1,1
12.96,-15.92,1,1
13.04,-15.92,1,1
13.12,-15.92,1,1
13.2,-15.92,1,1
13.28,-15.92,1,1
13.36,-15.92,1,1
13.44,-15.92,1,1
13.52,-15.92,1,1
13.6,-15.92,1,1
13.68,-15.92,1,1
13.76,-15.92,1,1
13.84,-15.92,1,1
13.92,-15.92,1,1
14,-15.92,1,1
14.08,-15.92,1,1
14.16,-15.92,1,1
14.24,-15.92,1,1
14.32,-15.92,1,1
14.4,-15.92,1,1
14.48,-15.92,1,1
14.56,-15.92,1,1
14.64,-15.92,1,1
14.72,-15.92,1,1
14.8,-15.92,1,1
14.88,-15.92,1,1
14.96,-15.92,1,1
15.04,-15.92,1,1
15.12,-15.92,1,1
15.2,-15.92,1,1
15.28,-15.92,1,1
15.36,-15.92,1,1
15.44,-15.92,1,1
15.52,-15.92,1,1
15.6,-15.92,1,1
15.68,-15.92,1,1
15.76,-15.92,1,1
15.84,-15.92,1,1
15.92,-15.92,1,1
16,-15.92,1,1
-16,-15.84,1,1
-15.92,-15.84,1,1
-15.84,-15.84,1,1
-15.76,-15.84,1,1
-15.68,-15.84,1,1
-15.6,-15.84,1,1
-15.52,-15.84,1,1
-15.44,-15.84,1,1
-15.36,-15.84,1,1
-15.28,-15.84,1,1
-15.2,-15.84,1,1
-15.12,-15.84,1,1
-15.04,-15.84,1,1
-14.96,-15.84,1,1
-14.88,-15.84,1,1
-14.8,-15.84,1,1
-14.72,-15.84,1,1
-14.64,-15.84,1,1
-14.56,-15.84,1,1
-14.48,-15.84,1,1
-14.4,-15.84,1,1
-14.32,-15.84,1,1
-14.24,-15.84,1,1
-14.16,-15.84,1,1
-14.08,-15.84,1,1
-14,-15.84,1,1
-13.92,-15.84,1,1
-13.84,-15.84,1,1
-13.76,-15.84,1,1
-13.68,-15.84,1,1
-13.6,-15.84,1,1
-13.52,-15.84,1,1
-13.44,-15.84,1,1
-13.36,-15.84,1,1
-13.28,-15.84,1,1
-13.2,-15.84,1,1
-13.12,-15.84,1,1
-13.04,-15.84,1,1
-12.96,-15.84,1,1
-12.88,-15.84,1,1
-12.8,-15.84,1,1
-12.72,-15.84,1,1
-12.64,-15.84,1,1
-12.56,-15.84,1,1
-12.48,-15.84,1,1
-12.4,-15.84,1,1
-12.32,-15.84,1,1
-12.24,-15.84,1,1
-12.16,-15.84,1,1
-12.08,-15.84,1,1
-12,-15.84,1,1
-11.92,-15.84,1,1
-11.84,-15.84,1,1
-11.76,-15.84,1,1
-11.68,-15.84,1,1
-11.6,-15.84,1,1
-11.52,-15.84,1,1
-11.44,-15.84,1,1
-11.36,-15.84,1,1
-11.28,-15.84,1,1
-11.2,-15.84,1,1
-11.12,-15.84,1,1
-11.04,-15.84,1,1
-10.96,-15.84,1,1
-10.88,-15.84,1,1
-10.8,-15.84,1,1
-10.72,-15.84,1,1
-10.64,-15.84,1,1
-10.56,-15.84,1,1
-10.48,-15.84,1,1
-10.4,-15.84,1,1
-10.32,-15.84,1,1
-10.24,-15.84,1,1
-10.16,-15.84,1,1
-10.08,-15.84,1,1
-10,-15.84,1,1
-9.92,-15.84,1,1
-9.84,-15.84,1,1
-9.76,-15.84,1,1
-9.68,-15.84,1,1
-9.6,-15.84,1,1
-9.52,-15.84,1,1
-9.44,-15.84,1,1
-9.36,-15.84,1,1
-9.28,-15.84,1,1
-9.2,-15.84,1,1
-9.12,-15.84,1,1
-9.04,-15.84,1,1
-8.96,-15.84,1,1
-8.88,-15.84,1,1
-8.8,-15.84,1,1
-8.72,-15.84,1,1
-8.64,-15.84,1,1
-8.56,-15.84,1,1
-8.48,-15.84,1,1
-8.4,-15.84,1,1
-8.32,-15.84,1,1
-8.24,-15.84,1,1
-8.16,-15.84,1,1
-8.08,-15.84,1,1
-8,-15.84,1,1
-7.92,-15.84,1,1
-7.84,-15.84,1,1
-7.76,-15.84,1,1
-7.68,-15.84,1,1
-7.6,-15.84,1,1
-7.52,-15.84,1,1
-7.44,-15.84,1,1
-7.36,-15.84,1,1
-7.28,-15.84,1,1
-7.2,-15.84,1,1
-7.12,-15.84,1,1
-7.04,-15.84,1,1
-6.96,-15.84,1,1
-6.88,-15.84,1,1
-6.8,-15.84,1,1
-6.72,-15.84,1,1
-6.64,-15.84,1,1
-6.56,-15.84,1,1
-6.48,-15.84,1,1
-6.4,-15.84,1,1
-6.32,-15.84,1,1
-6.24,-15.84,1,1
-6.16,-15.84,1,1
-6.08,-15.84,1,1
-6,-15.84,1,1
-5.92,-15.84,1,1
-5.84,-15.84,1,1
-5.76,-15.84,1,1
-5.68,-15.84,1,1
-5.6,-15.84,1,1
-5.52,-15.84,1,1
-5.44,-15.84,1,1
-5.36,-15.84,1,1
-5.28,-15.84,1,1
-5.2,-15.84,1,1
-5.12,-15.84,1,1
-5.04,-15.84,1,1
-4.96,-15.84,1,1
-4.88,-15.84,1,1
-4.8,-15.84,1,1
-4.72,-15.84,1,1
-4.64,-15.84,1,1
-4.56,-15.84,1,1
-4.48,-15.84,1,1
-4.4,-15.84,1,1
-4.32,-15.84,1,1
-4.24,-15.84,1,1
-4.16,-15.84,1,1
-4.08,-15.84,1,1
-4,-15.84,1,1
-3.92,-15.84,1,1
-3.84,-15.84,1,1
-3.76,-15.84,1,1
-3.68,-15.84,1,1
-3.6,-15.84,1,1
-3.52,-15.84,1,1
-3.44,-15.84,1,1
-3.36,-15.84,1,1
-3.28,-15.84,1,1
-3.2,-15.84,1,1
-3.12,-15.84,1,1
-3.04,-15.84,1,1
-2.96,-15.84,1,1
-2.88,-15.84,1,1
-2.8,-15.84,1,1
-2.72,-15.84,1,1
-2.64,-15.84,1,1
-2.56,-15.84,1,1
-2.48,-15.84,1,1
-2.4,-15.84,1,1
-2.32,-15.84,1,1
-2.24,-15.84,1,1
-2.16,-15.84,1,1
-2.08,-15.84,1,1
-2,-15.84,1,1
-1.92,-15.84,1,1
-1.84,-15.84,1,1
-1.76,-15.84,1,1
-1.68,-15.84,1,1
-1.6,-15.84,1,1
-1.52,-15.84,1,1
-1.44,-15.84,1,1
-1.36,-15.84,1,1
-1.28,-15.84,1,1
-1.2,-15.84,1,1
-1.12,-15.84,1,1
-1.04,-15.84,1,1
-0.96,-15.84,1,1
-0.88,-15.84,1,1
-0.8,-15.84,1,1
-0.72,-15.84,1,1
-0.64,-15.84,1,1
-0.56,-15.84,1,1
-0.48,-15.84,1,1
-0.4,-15.84,1,1
-0.32,-15.84,1,1
-0.24,-15.84,1,1
-0.16,-15.84,1,1
-0.08,-15.84,1,1
0,-15.84,1,1
0.08,-15.84,1,1
0.16,-15.84,1,1
0.24,-15.84,1,1
0.32,-15.84,1,1
0.4,-15.84,1,1
0.48,-15.84,1,1
0.56,-15.84,1,1
0.64,-15.84,1,1
0.72,-15.84,1,1
0.8,-15.84,1,1
0.88,-15.84,1,1
0.96,-15.84,1,1
1.04,-15.84,1,1
1.12,-15.84,1,1
1.2,-15.84,1,1
1.28,-15.84,1,1
1.36,-15.84,1,1
1.44,-15.84,1,1
1.52,-15.84,1,1
1.6,-15.84,1,1
1.68,-15.84,1,1
1.76,-15.84,1,1
1.84,-15.84,1,1
1.92,-15.84,1,1
2,-15.84,1,1
2.08,-15.84,1,1
2.16,-15.84,1,1
2.24,-15.84,1,1
2.32,-15.84,1,1
2.4,-15.84,1,1
2.48,-15.84,1,1
2.56,-15.84,1,1
2.64,-15.84,1,1
2.72,-15.84,1,1
2.8,-15.84,1,1
2.88,-15.84,1,1
2.96,-15.84,1,1
3.04,-15.84,1,1
3.12,-15.84,1,1
3.2,-15.84,1,1
3.28,-15.84,1,1
3.36,-15.84,1,1
3.44,-15.84,1,1
3.52,-15.84,1,1
3.6,-15.84,1,1
3.68,-15.84,1,1
3.76,-15.84,1,1
3.84,-15.84,1,1
3.92,-15.84,1,1
4,-15.84,1,1
4.08,-15.84,1,1
4.16,-15.84,1,1
4.24,-15.84,1,1
4.32,-15.84,1,1
4.4,-15.84,1,1
4.48,-15.84,1,1
4.56,-15.84,1,1
4.64,-15.84,1,1
4.72,-15.84,1,1
4.8,-15.84,1,1
4.88,-15.84,1,1
4.96,-15.84,1,1
5.04,-15.84,1,1
5.12,-15.84,1,1
5.2,-15.84,1,1
5.28,-15.84,1,1
5.36,-15.84,1,1
5.44,-15.84,1,1
5.52,-15.84,1,1
5.6,-15.84,1,1
5.68,-15.84,1,1
5.76,-15.84,1,1
5.84,-15.84,1,1
5.92,-15.84,1,1
6,-15.84,1,1
6.08,-15.84,1,1
6.16,-15.84,1,1
6.24,-15.84,1,1
6.32,-15.84,1,1
6.4,-15.84,1,1
6.48,-15.84,1,1
6.56,-15.84,1,1
6.64,-15.84,1,1
6.72,-15.84,1,1
6.8,-15.84,1,1
6.88,-15.84,1,1
6.96,-15.84,1,1
7.04,-15.84,1,1
7.12,-15.84,1,1
7.2,-15.84,1,1
7.28,-15.84,1,1
